March 2020 Alabama County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","1901-2000 Mean","Anomaly (1901-2000 base period)"
AL-001,"Autauga County",76.9,125,68.3,8.6
AL-003,"Baldwin County",78.2,124,70.5,7.7
AL-005,"Barbour County",75.8,120,69.1,6.7
AL-007,"Bibb County",73.3,116,66.9,6.4
AL-009,"Blount County",69.7,111,64.4,5.3
AL-011,"Bullock County",75.1,120,68.3,6.8
AL-013,"Butler County",77.9,124,69.5,8.4
AL-015,"Calhoun County",70.3,112,65,5.3
AL-017,"Chambers County",71.6,114,66.3,5.3
AL-019,"Cherokee County",68.1,106,64,4.1
AL-021,"Chilton County",74.9,121,67,7.9
AL-023,"Choctaw County",76.7,120,69.6,7.1
AL-025,"Clarke County",77.2,120,70,7.2
AL-027,"Clay County",70.6,111,65.5,5.1
AL-029,"Cleburne County",69.4,111,64.1,5.3
AL-031,"Coffee County",77.3,121,70.1,7.2
AL-033,"Colbert County",69.2,113,63.3,5.9
AL-035,"Conecuh County",78.6,125,70.5,8.1
AL-037,"Coosa County",73.5,116,66.9,6.6
AL-039,"Covington County",78.7,125,70.7,8.0
AL-041,"Crenshaw County",77.2,124,69.4,7.8
AL-043,"Cullman County",69.4,111,64.2,5.2
AL-045,"Dale County",77.1,121,70.1,7.0
AL-047,"Dallas County",77.1,125,68.5,8.6
AL-049,"DeKalb County",66.0,106,61.7,4.3
AL-051,"Elmore County",75.4,119,68.3,7.1
AL-053,"Escambia County",79.0,125,71.2,7.8
AL-055,"Etowah County",68.9,109,64.1,4.8
AL-057,"Fayette County",70.7,111,65.5,5.2
AL-059,"Franklin County",69.1,112,63.1,6.0
AL-061,"Geneva County",78.3,122,71,7.3
AL-063,"Greene County",73.9,116,67.5,6.4
AL-065,"Hale County",74.3,117,67.4,6.9
AL-067,"Henry County",77.4,122,69.9,7.5
AL-069,"Houston County",78.7,123,71,7.7
AL-071,"Jackson County",66.3,107,61.9,4.4
AL-073,"Jefferson County",71.4,113,65.8,5.6
AL-075,"Lamar County",71.2,112,65.5,5.7
AL-077,"Lauderdale County",68.2,108,63,5.2
AL-079,"Lawrence County",68.7,110,63.4,5.3
AL-081,"Lee County",73.0,114,67.4,5.6
AL-083,"Limestone County",67.8,109,62.9,4.9
AL-085,"Lowndes County",77.7,125,69,8.7
AL-087,"Macon County",74.3,116,68.4,5.9
AL-089,"Madison County",67.4,106,62.7,4.7
AL-091,"Marengo County",76.3,122,68.6,7.7
AL-093,"Marion County",69.9,113,64.1,5.8
AL-095,"Marshall County",67.8,109,62.9,4.9
AL-097,"Mobile County",78.2,124,70.3,7.9
AL-099,"Monroe County",78.1,124,70.2,7.9
AL-101,"Montgomery County",76.8,122,68.9,7.9
AL-103,"Morgan County",68.4,110,63.5,4.9
AL-105,"Perry County",75.3,122,67.5,7.8
AL-107,"Pickens County",72.3,113,66.6,5.7
AL-109,"Pike County",76.1,120,69.1,7.0
AL-111,"Randolph County",70.0,113,65.1,4.9
AL-113,"Russell County",74.8,119,68.7,6.1
AL-115,"St. Clair County",70.8,113,65.4,5.4
AL-117,"Shelby County",72.5,115,66.5,6.0
AL-119,"Sumter County",75.3,120,68.1,7.2
AL-121,"Talladega County",72.2,114,66.6,5.6
AL-123,"Tallapoosa County",72.5,115,67.2,5.3
AL-125,"Tuscaloosa County",71.7,110,66.7,5.0
AL-127,"Walker County",70.9,111,65.6,5.3
AL-129,"Washington County",77.6,119,71,6.6
AL-131,"Wilcox County",77.4,125,69.3,8.1
AL-133,"Winston County",69.5,112,64,5.5
